##### Reconstructed absorption cross section spectrum (U6OH) ##### 
## Number of input transitions: 9
## Number of input geometries: 100
## Possible outliers (geometry id): 69
## Remove outliers?: TRUE
## Model: GMM-NEA 
## Number of mixtures (K): 2, 2, 2, 2, 2, 2, 2, 2, 2
## Model constraints (M): EEV, EVE, EEI, EII, EEI, EEE, VVI, VVI, VVI
## Date: 2022-02-22
E_ev,sigma_cm2_full,sigma_cm2_full_lci,sigma_cm2_full_uci,sigma_cm2_Band_1,sigma_cm2_Band_1_lci,sigma_cm2_Band_1_uci,sigma_cm2_Band_2,sigma_cm2_Band_2_lci,sigma_cm2_Band_2_uci,sigma_cm2_Band_3,sigma_cm2_Band_3_lci,sigma_cm2_Band_3_uci,sigma_cm2_Band_4,sigma_cm2_Band_4_lci,sigma_cm2_Band_4_uci,sigma_cm2_Band_5,sigma_cm2_Band_5_lci,sigma_cm2_Band_5_uci,sigma_cm2_Band_6,sigma_cm2_Band_6_lci,sigma_cm2_Band_6_uci,sigma_cm2_Band_7,sigma_cm2_Band_7_lci,sigma_cm2_Band_7_uci,sigma_cm2_Band_8,sigma_cm2_Band_8_lci,sigma_cm2_Band_8_uci,sigma_cm2_Band_9,sigma_cm2_Band_9_lci,sigma_cm2_Band_9_uci
1.20,1.72280e-21,1.43718e-21,4.04492e-21, 4.51398e-23, 3.97139e-23,7.97461e-23,1.63161e-21,1.43589e-21,4.03765e-21,4.60535e-23,4.60535e-23,2.28875e-22,2.38822e-28,2.38813e-28,7.28288e-27,2.97403e-32,2.97403e-32,1.19187e-29,2.42287e-32,2.42287e-32,1.71852e-29,3.07289e-39,3.07289e-39,1.36441e-33,1.06339e-31,1.06339e-31,1.22840e-28,2.29721e-40,2.29721e-40,3.21814e-34
1.21,1.89216e-21,1.57232e-21,4.35145e-21, 5.09792e-23, 4.45676e-23,8.66441e-23,1.79088e-21,1.57088e-21,4.34360e-21,5.03022e-23,5.03022e-23,2.46484e-22,2.77947e-28,2.77935e-28,8.25768e-27,3.60036e-32,3.60036e-32,1.39577e-29,2.88317e-32,2.88317e-32,1.96961e-29,3.89130e-39,3.89130e-39,1.61450e-33,1.20162e-31,1.20162e-31,1.34372e-28,2.79989e-40,2.79989e-40,3.70566e-34
1.22,2.07686e-21,1.72011e-21,4.67798e-21, 5.75032e-23, 5.00233e-23,9.63050e-23,1.96444e-21,1.71850e-21,4.66947e-21,5.49140e-23,5.49140e-23,2.65113e-22,3.23280e-28,3.23265e-28,9.35812e-27,4.35574e-32,4.35574e-32,1.63362e-29,3.42907e-32,3.42907e-32,2.25639e-29,4.92445e-39,4.92445e-39,1.90952e-33,1.35739e-31,1.35739e-31,1.46953e-28,3.41104e-40,3.41104e-40,4.26560e-34
1.23,2.27815e-21,1.87932e-21,5.02369e-21, 6.47826e-23, 5.60618e-23,1.05638e-22,2.15345e-21,1.87752e-21,5.01458e-21,5.99170e-23,5.99170e-23,2.83461e-22,3.75774e-28,3.75755e-28,1.06833e-26,5.26617e-32,5.26617e-32,1.91091e-29,4.07613e-32,4.07613e-32,2.58381e-29,6.22784e-39,6.22784e-39,2.25736e-33,1.53289e-31,1.53289e-31,1.60673e-28,4.15373e-40,4.15372e-40,4.90851e-34
1.24,2.49739e-21,2.05129e-21,5.39133e-21, 7.28939e-23, 6.26790e-23,1.15080e-22,2.35915e-21,2.04929e-21,5.38170e-21,6.53416e-23,6.53416e-23,3.00838e-22,4.36523e-28,4.36498e-28,1.22525e-26,6.36275e-32,6.36275e-32,2.23401e-29,4.84270e-32,4.84270e-32,2.95746e-29,7.87107e-39,7.87107e-39,2.66730e-33,1.73054e-31,1.73054e-31,1.75794e-28,5.05586e-40,5.05585e-40,5.64643e-34
1.25,2.73599e-21,2.23738e-21,5.78212e-21, 8.19204e-23, 6.98923e-23,1.25767e-22,2.58285e-21,2.23516e-21,5.77194e-21,7.12199e-23,7.12199e-23,3.18957e-22,5.06779e-28,5.06747e-28,1.40433e-26,7.68267e-32,7.68267e-32,2.60709e-29,5.75035e-32,5.75035e-32,3.38367e-29,9.94139e-39,9.94139e-39,3.15018e-33,1.95308e-31,1.95308e-31,1.93017e-28,6.15117e-40,6.15116e-40,6.49311e-34
1.26,2.99551e-21,2.43860e-21,6.19721e-21, 9.19520e-23, 7.78670e-23,1.37314e-22,2.82598e-21,2.43612e-21,6.18646e-21,7.75866e-23,7.75866e-23,3.37993e-22,5.87982e-28,5.87941e-28,1.60858e-26,9.27039e-32,9.27039e-32,3.03221e-29,6.82447e-32,6.82447e-32,3.86964e-29,1.25481e-38,1.25481e-38,3.71872e-33,2.20357e-31,2.20357e-31,2.11876e-28,7.48046e-40,7.48044e-40,7.46428e-34
1.27,3.27759e-21,2.65600e-21,6.63791e-21, 1.03086e-22, 8.65108e-23,1.48068e-22,3.09003e-21,2.65324e-21,6.62644e-21,8.44782e-23,8.44782e-23,3.60766e-22,6.81777e-28,6.81724e-28,1.84137e-26,1.11790e-31,1.11790e-31,3.52475e-29,8.09491e-32,8.09491e-32,4.42349e-29,1.58280e-38,1.58280e-38,4.38778e-33,2.48542e-31,2.48542e-31,2.32518e-28,9.09297e-40,9.09295e-40,8.57786e-34
1.28,3.58397e-21,2.89069e-21,7.07151e-21, 1.15426e-22, 9.61637e-23,1.59756e-22,3.37661e-21,2.88762e-21,7.05915e-21,9.19342e-23,9.19342e-23,3.86031e-22,7.90051e-28,7.89984e-28,2.10654e-26,1.34718e-31,1.34718e-31,4.09509e-29,9.59674e-32,9.59674e-32,5.05444e-29,1.99523e-38,1.99523e-38,5.17478e-33,2.80248e-31,2.80248e-31,2.55108e-28,1.10482e-39,1.10482e-39,9.85431e-34
1.29,3.91653e-21,3.14385e-21,7.52723e-21, 1.29087e-22, 1.06947e-22,1.72895e-22,3.68745e-21,3.14043e-21,7.51403e-21,9.99963e-23,9.99963e-23,4.10773e-22,9.14961e-28,9.14876e-28,2.40838e-26,1.62243e-31,1.62243e-31,4.75515e-29,1.13712e-31,1.13712e-31,5.77290e-29,2.51350e-38,2.51350e-38,6.10005e-33,3.15903e-31,3.15903e-31,2.79824e-28,1.34179e-39,1.34179e-39,1.13170e-33
1.30,4.27726e-21,3.41656e-21,8.00702e-21, 1.44187e-22, 1.18258e-22,1.86863e-22,4.02437e-21,3.41278e-21,7.99283e-21,1.08709e-22,1.08709e-22,4.38267e-22,1.05897e-27,1.05887e-27,2.75175e-26,1.95267e-31,1.95267e-31,5.51865e-29,1.34665e-31,1.34665e-31,6.62753e-29,3.16434e-38,3.16434e-38,7.18499e-33,3.55986e-31,3.55986e-31,3.06858e-28,1.62887e-39,1.62887e-39,1.29925e-33
1.31,4.66828e-21,3.71015e-21,8.51187e-21, 1.60858e-22, 1.30412e-22,2.01684e-22,4.38930e-21,3.70598e-21,8.49641e-21,1.18120e-22,1.18120e-22,4.71563e-22,1.22491e-27,1.22478e-27,3.14212e-26,2.34861e-31,2.34861e-31,6.40129e-29,1.59395e-31,1.59395e-31,7.60507e-29,3.98114e-38,3.98114e-38,8.45830e-33,4.01035e-31,4.01035e-31,3.36420e-28,1.97651e-39,1.97650e-39,1.49112e-33
1.32,5.09184e-21,4.02604e-21,9.04230e-21, 1.79238e-22, 1.43634e-22,2.17384e-22,4.78432e-21,4.02143e-21,9.02559e-21,1.28279e-22,1.28279e-22,5.04539e-22,1.41599e-27,1.41582e-27,3.58562e-26,2.82302e-31,2.82302e-31,7.42113e-29,1.88567e-31,1.88567e-31,8.72259e-29,5.00554e-38,5.00554e-38,9.95262e-33,4.51649e-31,4.51649e-31,3.68741e-28,2.39728e-39,2.39728e-39,1.71076e-33
1.33,5.55034e-21,4.36608e-21,9.62695e-21, 1.99476e-22, 1.58632e-22,2.37117e-22,5.21162e-21,4.36098e-21,9.60893e-21,1.39240e-22,1.39240e-22,5.38960e-22,1.63589e-27,1.63567e-27,4.08918e-26,3.39107e-31,3.39107e-31,8.59886e-29,2.22960e-31,2.22960e-31,9.99953e-29,6.28949e-38,6.28949e-38,1.17055e-32,5.08499e-31,5.08499e-31,4.04067e-28,2.90637e-39,2.90636e-39,1.96212e-33
1.34,6.04631e-21,4.73179e-21,1.02644e-20, 2.21728e-22, 1.74942e-22,2.60209e-22,5.67352e-21,4.72614e-21,1.02448e-20,1.51060e-22,1.51060e-22,5.77449e-22,1.88879e-27,1.88852e-27,4.66055e-26,4.07082e-31,4.07082e-31,9.95816e-29,2.63487e-31,2.63487e-31,1.14414e-28,7.89770e-38,7.89770e-38,1.37608e-32,5.72335e-31,5.72335e-31,4.42671e-28,3.52202e-39,3.52201e-39,2.24967e-33
1.35,6.58246e-21,5.12378e-21,1.09369e-20, 2.46164e-22, 1.92649e-22,2.84943e-22,6.17250e-21,5.11754e-21,1.09156e-20,1.63799e-22,1.63799e-22,6.20369e-22,2.17948e-27,2.17914e-27,5.30846e-26,4.88370e-31,4.88370e-31,1.15262e-28,3.11216e-31,3.11216e-31,1.30553e-28,9.91076e-38,9.91076e-38,1.61695e-32,6.43993e-31,6.43993e-31,4.84839e-28,4.26622e-39,4.26621e-39,2.57853e-33
1.36,7.16165e-21,5.54420e-21,1.16459e-20, 2.72961e-22, 2.11838e-22,3.11604e-22,6.71116e-21,5.53730e-21,1.16226e-20,1.77521e-22,1.77521e-22,6.66123e-22,2.51339e-27,2.51297e-27,6.04269e-26,5.85514e-31,5.85514e-31,1.33340e-28,3.67399e-31,3.67399e-31,1.48905e-28,1.24290e-37,1.24290e-37,1.89910e-32,7.24409e-31,7.24409e-31,5.30861e-28,5.16543e-39,5.16542e-39,2.95451e-33
1.37,7.78688e-21,5.99461e-21,1.23926e-20, 3.02308e-22, 2.32830e-22,3.40294e-22,7.29228e-21,5.98700e-21,1.23672e-20,1.92295e-22,1.92295e-22,7.14870e-22,2.89673e-27,2.89620e-27,6.87420e-26,7.01534e-31,7.01534e-31,1.54172e-28,4.33496e-31,4.33496e-31,1.69763e-28,1.55770e-37,1.55770e-37,2.22945e-32,8.14625e-31,8.14625e-31,5.81112e-28,6.25146e-39,6.25144e-39,3.38421e-33
1.38,8.46138e-21,6.47414e-21,1.31783e-20, 3.34405e-22, 2.54986e-22,3.64887e-22,7.91878e-21,6.46576e-21,1.31509e-20,2.08192e-22,2.08192e-22,7.66775e-22,3.33653e-27,3.33587e-27,7.81530e-26,8.40007e-31,8.40007e-31,1.78164e-28,5.11217e-31,5.11217e-31,1.93459e-28,1.95099e-37,1.95099e-37,2.61781e-32,9.15807e-31,9.15807e-31,6.35965e-28,7.56254e-39,7.56252e-39,3.87517e-33
1.39,9.18850e-21,6.94974e-21,1.40044e-20, 3.69462e-22, 2.78517e-22,3.88983e-22,8.59374e-21,6.94050e-21,1.39749e-20,2.25288e-22,2.25288e-22,8.22011e-22,3.84082e-27,3.83998e-27,8.87973e-26,1.00517e-30,1.00517e-30,2.05780e-28,6.02557e-31,6.02557e-31,2.20368e-28,2.44202e-37,2.44202e-37,3.07558e-32,1.02925e-30,1.02925e-30,6.95830e-28,9.14464e-39,9.14460e-39,4.43113e-33
1.40,9.97181e-21,7.49005e-21,1.48725e-20, 4.07701e-22, 3.03546e-22,4.13764e-22,9.32045e-21,7.47993e-21,1.48406e-20,2.43664e-22,2.43664e-22,8.80344e-22,4.41869e-27,4.41762e-27,1.00829e-25,1.20204e-30,1.20204e-30,2.37551e-28,7.09846e-31,7.09846e-31,2.50912e-28,3.05468e-37,3.05468e-37,3.61172e-32,1.15641e-30,1.15641e-30,7.61149e-28,1.10529e-38,1.10529e-38,5.03100e-33
1.41,1.08151e-20,8.08211e-21,1.57833e-20, 4.49354e-22, 3.30144e-22,4.43533e-22,1.01023e-20,8.07107e-21,1.57495e-20,2.63404e-22,2.63404e-22,9.32357e-22,5.08047e-27,5.07913e-27,1.14202e-25,1.43656e-30,1.43656e-30,2.74197e-28,8.35802e-31,8.35802e-31,2.85566e-28,3.81862e-37,3.81862e-37,4.23935e-32,1.29891e-30,1.29891e-30,8.32400e-28,1.33537e-38,1.33537e-38,5.71036e-33
1.42,1.17223e-20,8.71576e-21,1.67374e-20, 4.94665e-22, 3.58444e-22,4.78452e-22,1.09430e-20,8.70373e-21,1.67017e-20,2.84600e-22,2.84600e-22,9.83428e-22,5.83791e-27,5.83623e-27,1.29087e-25,1.71575e-30,1.71575e-30,3.17468e-28,9.83595e-31,9.83595e-31,3.24868e-28,4.77056e-37,4.77056e-37,4.97373e-32,1.45853e-30,1.45853e-30,9.10105e-28,1.61265e-38,1.61264e-38,6.47952e-33
1.43,1.26975e-20,9.39232e-21,1.77278e-20, 5.43890e-22, 3.89124e-22,5.15385e-22,1.18463e-20,9.37922e-21,1.76900e-20,3.07346e-22,3.07346e-22,1.03671e-21,6.70431e-27,6.70220e-27,1.45830e-25,2.04789e-30,2.04789e-30,3.67363e-28,1.15692e-30,1.15692e-30,3.69421e-28,5.95602e-37,5.95602e-37,5.83262e-32,1.63729e-30,1.63729e-30,9.94828e-28,1.94666e-38,1.94665e-38,7.34836e-33
1.44,1.37452e-20,1.01138e-20,1.87646e-20, 5.97292e-22, 4.21364e-22,5.52992e-22,1.28162e-20,1.00996e-20,1.87243e-20,3.31742e-22,3.31742e-22,1.09833e-21,7.69473e-27,7.69210e-27,1.64651e-25,2.44278e-30,2.44278e-30,4.24862e-28,1.36008e-30,1.36008e-30,4.19903e-28,7.43133e-37,7.43133e-37,6.83405e-32,1.83743e-30,1.83743e-30,1.08718e-27,2.34885e-38,2.34884e-38,8.32962e-33
1.45,1.48700e-20,1.08530e-20,1.97895e-20, 6.55148e-22, 4.55491e-22,5.96268e-22,1.38569e-20,1.08375e-20,1.97459e-20,3.57893e-22,3.57893e-22,1.16998e-21,8.82626e-27,8.82297e-27,1.85796e-25,2.91197e-30,2.91197e-30,4.91088e-28,1.59809e-30,1.59809e-30,4.77081e-28,9.26621e-37,9.26621e-37,7.94507e-32,2.06144e-30,2.06144e-30,1.18783e-27,2.83292e-38,2.83291e-38,9.43907e-33
