##### Reconstructed absorption cross section spectrum (U6OH) ##### 
## Number of input transitions: 9
## Number of input geometries: 100
## Possible outliers (geometry id): 69
## Remove outliers?: TRUE
## Model: auto-d 
## Empirical bandwidths d: 0.259, 0.351, 0.439, 0.331, 0.31, 0.367, 0.342, 0.42, 0.308
## Date: 2022-02-22
E_ev,sigma_cm2_full,sigma_cm2_full_lci,sigma_cm2_full_uci,sigma_cm2_Band_1,sigma_cm2_Band_1_lci,sigma_cm2_Band_1_uci,sigma_cm2_Band_2,sigma_cm2_Band_2_lci,sigma_cm2_Band_2_uci,sigma_cm2_Band_3,sigma_cm2_Band_3_lci,sigma_cm2_Band_3_uci,sigma_cm2_Band_4,sigma_cm2_Band_4_lci,sigma_cm2_Band_4_uci,sigma_cm2_Band_5,sigma_cm2_Band_5_lci,sigma_cm2_Band_5_uci,sigma_cm2_Band_6,sigma_cm2_Band_6_lci,sigma_cm2_Band_6_uci,sigma_cm2_Band_7,sigma_cm2_Band_7_lci,sigma_cm2_Band_7_uci,sigma_cm2_Band_8,sigma_cm2_Band_8_lci,sigma_cm2_Band_8_uci,sigma_cm2_Band_9,sigma_cm2_Band_9_lci,sigma_cm2_Band_9_uci
1.27,2.18417e-22,1.86824e-22,3.38144e-22, 3.32354e-23, 2.63885e-23, 4.10841e-23, 1.85179e-22, 1.84951e-22, 3.35639e-22,3.24881e-27,3.14737e-27,5.46093e-27,4.72421e-43,4.72410e-43,9.42619e-43,1.42831e-58,1.42831e-58,2.85663e-58,8.95043e-57,8.95043e-57,1.79009e-56, 3.32137e-90, 3.32115e-90, 6.64009e-90,1.33107e-69,1.33107e-69,2.66214e-69,4.16250e-123,4.16250e-123,8.32501e-123
1.28,2.67248e-22,2.27721e-22,4.11342e-22, 4.15995e-23, 3.28773e-23, 5.11589e-23, 2.25645e-22, 2.25335e-22, 4.08148e-22,4.19267e-27,4.05829e-27,7.02009e-27,8.67441e-43,8.67420e-43,1.73065e-42,3.34243e-58,3.34243e-58,6.68487e-58,1.78991e-56,1.78991e-56,3.57983e-56, 9.33662e-90, 9.33600e-90, 1.86655e-89,2.70008e-69,2.70008e-69,5.40016e-69,1.68197e-122,1.68197e-122,3.36394e-122
1.29,3.25887e-22,2.76701e-22,4.98816e-22, 5.17760e-23, 4.07358e-23, 6.34411e-23, 2.74105e-22, 2.73686e-22, 4.94765e-22,5.40049e-27,5.22235e-27,9.00613e-27,1.58706e-42,1.58702e-42,3.16611e-42,7.78975e-58,7.78975e-58,1.55795e-57,3.56910e-56,3.56910e-56,7.13820e-56, 2.61580e-89, 2.61562e-89, 5.22937e-89,5.46507e-69,5.46507e-69,1.09301e-68,6.76818e-122,6.76818e-122,1.35364e-121
1.30,3.96035e-22,3.35179e-22,6.02986e-22, 6.40811e-23, 5.03226e-23, 7.82863e-23, 3.31947e-22, 3.31380e-22, 5.97883e-22,6.94307e-27,6.70744e-27,1.15313e-26,2.89326e-42,2.89318e-42,5.77141e-42,1.80803e-57,1.80803e-57,3.61606e-57,7.09617e-56,7.09617e-56,1.41923e-55, 7.30404e-89, 7.30351e-89, 1.46016e-88,1.10372e-68,1.10372e-68,2.20743e-68,2.71217e-121,2.71217e-121,5.42433e-121
1.31,4.79635e-22,4.04729e-22,7.26600e-22, 7.88679e-23, 6.17163e-23, 9.60392e-23, 4.00758e-22, 3.99995e-22, 7.20225e-22,8.90935e-27,8.59662e-27,1.47355e-26,5.25561e-42,5.25547e-42,1.04828e-41,4.17934e-57,4.17934e-57,8.35867e-57,1.40678e-55,1.40678e-55,2.81357e-55, 2.03265e-88, 2.03250e-88, 4.06344e-88,2.22413e-68,2.22413e-68,4.44827e-68,1.08231e-120,1.08231e-120,2.16462e-120
1.32,5.78884e-22,4.87141e-22,8.72777e-22, 9.65272e-23, 7.50240e-23, 1.17126e-22, 4.82345e-22, 4.81329e-22, 8.64882e-22,1.14108e-26,1.09966e-26,1.87929e-26,9.51264e-42,9.51237e-42,1.89720e-41,9.62120e-57,9.62120e-57,1.92424e-56,2.78079e-55,2.78079e-55,5.56159e-55, 5.63772e-88, 5.63728e-88, 1.12701e-87,4.47205e-68,4.47205e-68,8.94409e-68,4.30107e-120,4.30107e-120,8.60213e-120
1.33,6.96261e-22,5.84533e-22,1.04503e-21, 1.17487e-22, 9.09815e-23, 1.42004e-22, 5.78759e-22, 5.77409e-22, 1.03534e-21,1.45870e-26,1.40394e-26,2.39203e-26,1.71561e-41,1.71556e-41,3.42129e-41,2.20582e-56,2.20582e-56,4.41165e-56,5.48084e-55,5.48084e-55,1.09617e-54, 1.55842e-87, 1.55830e-87, 3.11532e-87,8.97208e-68,8.97208e-68,1.79442e-67,1.70212e-119,1.70212e-119,3.40424e-119
1.34,8.34544e-22,6.99161e-22,1.24730e-21, 1.42210e-22, 1.09540e-22, 1.71152e-22, 6.92316e-22, 6.90527e-22, 1.23550e-21,1.86120e-26,1.78895e-26,3.03868e-26,3.08304e-41,3.08294e-41,6.14758e-41,5.03654e-56,5.03654e-56,1.00731e-55,1.07712e-54,1.07712e-54,2.15423e-54, 4.29347e-87, 4.29311e-87, 8.58259e-87,1.79606e-67,1.79606e-67,3.59212e-67,6.70801e-119,6.70801e-119,1.34160e-118
1.35,9.96834e-22,8.33614e-22,1.48398e-21, 1.71192e-22, 1.31014e-22, 2.05066e-22, 8.25618e-22, 8.23254e-22, 1.46974e-21,2.37026e-26,2.27513e-26,3.85254e-26,5.52050e-41,5.52032e-41,1.10067e-40,1.14528e-55,1.14528e-55,2.29056e-55,2.11064e-54,2.11064e-54,4.22129e-54, 1.17889e-86, 1.17878e-86, 2.35653e-86,3.58748e-67,3.58748e-67,7.17495e-67,2.63261e-118,2.63261e-118,5.26521e-118
1.36,1.18657e-21,9.90835e-22,1.75995e-21, 2.04959e-22, 1.56080e-22, 2.44246e-22, 9.81576e-22, 9.78465e-22, 1.74292e-21,3.01284e-26,2.88785e-26,4.87475e-26,9.84958e-41,9.84924e-41,1.96358e-40,2.59364e-55,2.59364e-55,5.18728e-55,4.12385e-54,4.12385e-54,8.24770e-54, 3.22608e-86, 3.22578e-86, 6.44865e-86,7.14986e-67,7.14986e-67,1.42997e-66,1.02888e-117,1.02888e-117,2.05777e-117
