##### Reconstructed absorption cross section spectrum (U6OH) ##### 
## Number of input transitions: 9
## Number of input geometries: 100
## Possible outliers (geometry id): 69
## Remove outliers?: TRUE
## Model: GMM-NEA 
## Number of mixtures (K): 2, 2, 2, 2, 2, 2, 2, 2, 2
## Model constraints (M): EEV, EVE, EEI, EII, EEI, EEE, VVI, VVI, VVI
## Date: 2022-03-09
wl_nm,sigma_cm2_full,sigma_cm2_full_lci,sigma_cm2_full_uci,sigma_cm2_Band_1,sigma_cm2_Band_1_lci,sigma_cm2_Band_1_uci,sigma_cm2_Band_2,sigma_cm2_Band_2_lci,sigma_cm2_Band_2_uci,sigma_cm2_Band_3,sigma_cm2_Band_3_lci,sigma_cm2_Band_3_uci,sigma_cm2_Band_4,sigma_cm2_Band_4_lci,sigma_cm2_Band_4_uci,sigma_cm2_Band_5,sigma_cm2_Band_5_lci,sigma_cm2_Band_5_uci,sigma_cm2_Band_6,sigma_cm2_Band_6_lci,sigma_cm2_Band_6_uci,sigma_cm2_Band_7,sigma_cm2_Band_7_lci,sigma_cm2_Band_7_uci,sigma_cm2_Band_8,sigma_cm2_Band_8_lci,sigma_cm2_Band_8_uci,sigma_cm2_Band_9,sigma_cm2_Band_9_lci,sigma_cm2_Band_9_uci
1033.202,1.72280e-21,1.45168e-21,4.42604e-21, 4.51398e-23, 3.85637e-23,8.39732e-23,1.63161e-21,1.45044e-21,4.41756e-21,4.60535e-23,4.60534e-23,2.60592e-22,2.38822e-28,2.38807e-28,6.82022e-27,2.97403e-32,2.97403e-32,9.31687e-30,2.42287e-32,2.42287e-32,2.82897e-29,3.07289e-39,3.07289e-39,1.62765e-33,1.06339e-31,1.06339e-31,9.66743e-29,2.29721e-40,2.29721e-40,2.64020e-34
1024.663,1.89216e-21,1.58447e-21,4.72586e-21, 5.09792e-23, 4.32942e-23,9.22955e-23,1.79088e-21,1.58308e-21,4.71670e-21,5.03022e-23,5.03022e-23,2.79084e-22,2.77947e-28,2.77927e-28,7.72616e-27,3.60036e-32,3.60036e-32,1.09025e-29,2.88317e-32,2.88317e-32,3.23671e-29,3.89130e-39,3.89130e-39,1.92284e-33,1.20162e-31,1.20162e-31,1.06044e-28,2.79989e-40,2.79989e-40,3.04860e-34
1016.264,2.07686e-21,1.73213e-21,5.05349e-21, 5.75032e-23, 4.85476e-23,1.01950e-22,1.96444e-21,1.73057e-21,5.04370e-21,5.49140e-23,5.49140e-23,2.97439e-22,3.23280e-28,3.23255e-28,8.74429e-27,4.35574e-32,4.35574e-32,1.26952e-29,3.42907e-32,3.42907e-32,3.70897e-29,4.92445e-39,4.92445e-39,2.27049e-33,1.35739e-31,1.35739e-31,1.16293e-28,3.41104e-40,3.41103e-40,3.51894e-34
1008.002,2.27815e-21,1.89218e-21,5.41214e-21, 6.47826e-23, 5.42563e-23,1.12471e-22,2.15345e-21,1.89045e-21,5.40177e-21,5.99170e-23,5.99170e-23,3.15414e-22,3.75774e-28,3.75743e-28,9.90915e-27,5.26617e-32,5.26617e-32,1.47750e-29,4.07613e-32,4.07613e-32,4.22932e-29,6.22784e-39,6.22784e-39,2.67973e-33,1.53289e-31,1.53289e-31,1.27501e-28,4.15373e-40,4.15372e-40,4.06043e-34
 999.873,2.49739e-21,2.06554e-21,5.79259e-21, 7.28939e-23, 6.07477e-23,1.23093e-22,2.35915e-21,2.06361e-21,5.78154e-21,6.53416e-23,6.53416e-23,3.35775e-22,4.36523e-28,4.36482e-28,1.12537e-26,6.36275e-32,6.36275e-32,1.71867e-29,4.84270e-32,4.84270e-32,4.83722e-29,7.87107e-39,7.87107e-39,3.16124e-33,1.73054e-31,1.73054e-31,1.39755e-28,5.05586e-40,5.05584e-40,4.68361e-34
 991.874,2.73599e-21,2.25312e-21,6.19588e-21, 8.19204e-23, 6.76381e-23,1.33545e-22,2.58285e-21,2.25098e-21,6.18401e-21,7.12199e-23,7.12199e-23,3.59247e-22,5.06779e-28,5.06728e-28,1.27737e-26,7.68267e-32,7.68267e-32,2.00570e-29,5.75035e-32,5.75035e-32,5.57037e-29,9.94139e-39,9.94139e-39,3.72751e-33,1.95308e-31,1.95308e-31,1.53150e-28,6.15117e-40,6.15116e-40,5.40054e-34
 984.002,2.99551e-21,2.45595e-21,6.62299e-21, 9.19520e-23, 7.56317e-23,1.46040e-22,2.82598e-21,2.45356e-21,6.61023e-21,7.75866e-23,7.75865e-23,3.84112e-22,5.87982e-28,5.87917e-28,1.44911e-26,9.27039e-32,9.27039e-32,2.33996e-29,6.82447e-32,6.82447e-32,6.37557e-29,1.25481e-38,1.25481e-38,4.39317e-33,2.20357e-31,2.20357e-31,1.67787e-28,7.48046e-40,7.48043e-40,6.22507e-34
 976.254,3.27759e-21,2.67509e-21,7.07227e-21, 1.03086e-22, 8.42145e-23,1.59474e-22,3.09003e-21,2.67243e-21,7.05856e-21,8.44782e-23,8.44782e-23,4.10286e-22,6.81777e-28,6.81694e-28,1.64307e-26,1.11790e-31,1.11790e-31,2.72928e-29,8.09491e-32,8.09491e-32,7.29217e-29,1.58280e-38,1.58280e-38,5.17527e-33,2.48542e-31,2.48542e-31,1.83779e-28,9.09297e-40,9.09294e-40,7.17299e-34
 968.627,3.58397e-21,2.91199e-21,7.54700e-21, 1.15426e-22, 9.36125e-23,1.73893e-22,3.37661e-21,2.90903e-21,7.53225e-21,9.19342e-23,9.19342e-23,4.38394e-22,7.90051e-28,7.89946e-28,1.86198e-26,1.34718e-31,1.34718e-31,3.18494e-29,9.59674e-32,9.59674e-32,8.33563e-29,1.99523e-38,1.99523e-38,6.09377e-33,2.80248e-31,2.80248e-31,2.01246e-28,1.10482e-39,1.10481e-39,8.23403e-34
 961.118,3.91653e-21,3.16731e-21,8.04838e-21, 1.29087e-22, 1.03908e-22,1.89342e-22,3.68745e-21,3.16402e-21,8.03251e-21,9.99963e-23,9.99962e-23,4.68228e-22,9.14961e-28,9.14832e-28,2.10891e-26,1.62243e-31,1.62243e-31,3.71459e-29,1.13712e-31,1.13712e-31,9.52422e-29,2.51350e-38,2.51350e-38,7.17193e-33,3.15903e-31,3.15903e-31,2.20320e-28,1.34179e-39,1.34179e-39,9.43152e-34
